Sno.,Comment,"Overall Experience	"
770,,Good. It was smoothly conducted. 
771,,very excellent.
772,"APPROPRIATE SELECTION OF TEST WITNESS, WASN'T ABLE TO COMPELETE ON TIME. IMPROVEMENT IS REQUIRED ON TEST WITNESS.",IT WAS GOOD
773,,
774,,good 
775,,
776,,VERY GOOD
777,,IT WAS GOOD 
778,,EXCELLENT.
779,,VERY GOOD.
780,,it was very good.
781,,IT WAS GOOD.
782,,Great.
783,,it was good.
784,, very good
785,,Very nice.
786,TECHNICAL ASSESSOR'S BEHAVIOR WAS NOT GOOD.,GOOD
787,,EXCELLENT.
788,,it was fine their were no problem faced
789,,
790,,very good.
791,,EXCELLENT
792,,"yes, thair knowledge."
793,,it was good experience.
794,,
795,,better 
796,,EXCELLENT.
797,, excellent
798,,THEY REALLY LIKED THE HYBRID ASSESSMENT.HAPPY WITH THE ASSESSORS.
799,,It was very good learning experience. They gave very good suggestions for improvement.
800,,It was great. 
801,,EXCELLENT.
802,,"It was good. Assessors were good, they explained things very well and were cooperating. It was a learning process."
803,,
804,,VERY NICE.
805,, GOOD EXPERENCE.
806,,GOOD
807,,
808,,It was good.  It went well on time.
809,,It was great. The whole assessment process was timely conducted and assessors were very cooperative. They did not show any negative attitude.
810,,GOOD
811,,
812,,experience was good.
813,,Very good. NABL is for our betterment and this verbal feedback is a very nice initiative of NABL.
814,,
815,It was bit time consuming .The audit can be adjusted to 2 days instead of 3 days.,Good
816,,
817,,VERY GOOD.
818,,IT WAS EXCELLENT.
819, THE ASSESSOR MR MAHENDRA YAWLE WAS TAKING HIMSELF SUPREME EVEN THE ACCREDITATION OFFICER WAS NOT ABLE TO CONTROL HIM.,unsatisfactory
820,ONLY THE ASSESSOR DR MADHERSHA WAS ISSUE.,VERY GOOD
821,,
822,"we had online assessment on 24, 25 and offline on 4,5 because of which it became very messy . so this was something that needs improvement .",it was good
823,,VERY GOOD
824,,VERY GOOD.
825,"SOME ASSESSORS WERE ON REMOTE MODE. THAT WAS DIFFICULT.
SUGGESTION ;- OFFLINE IS BETTER THAN ONLINE .
", EXPERIENCE WAS GOOD BECAUSE ALL ASSESSORS HAD LOTS OF KNOWLEDGE. 
826,,IT WAS VERY GOOD . THEY WERE VERY COOPERATIVE
827,,OVERALL IT WAS GOOD BUT HE SUGGESTED  THAT FOR SMALL TESTING SHOULD BE COMBINED SO THAT IT DOES NOT BECOMES HECTIC FOR THE LAB AS WELL AS THE ASSESSOR.
828,,
829,,VERY GOOD.
830,,over all experience was fair.
831,,
832,THE ASSESSORS WERE WILLING TO FIND FAULTS EXCEPT THE FACTS. THE CLIENT WAS NOT READY TO GIVE DETAILS BECAUSE HE WAS SCARED FOR BAD IMPACT ON CERTIFICATION. HE SUGGESTED THAT N A B L SHOULD CALL THE LABS FOR FEEDBACK AFTER THE RESULT ,VERY GOOD. THE LAB MANAGER SUGGESTED THAT N A B L SHOULD CALL THE LABS FOR FEEDBACK AFTER THE RESULT .
833,,IT WAS GOOD 
834,,
835,,Satisfactory
836,,it was very good. REQUEST: only one assessor was there to inspect our lab so this is a request that number of assessors should be increased and also the time gap between different stages of NABL certification should be reduced.
837,,
838,,
839,,IT WAS GREAT.
840,,IT WAS GREAT.
841,,
842,,very good.
843,,I am very happy and no negative thing is against the assessors. They were really nice people and expert of the field.
844,,VERY GOOD.
845,,
846,,over all experience was good.
847,,EXPERIENCE WAS EXCELLENT.
848,,ITWAS COMPLETELY LEARNING PROCESS.IT WAS CONDUCTED SMOOTHLY.
849,,VERY GOOD
850,,
851,,overall experience was good.
852,ATTITUDE WAS LITTLE BIT NOT GOOD ,"IT WAS GOOD 
SUGGESTION;- PLEASE DO NOT REPEAT ANY ONE ASSESSOR TRY TO CHANGE."
853,,LAB'S PEOPLE WERE UNSATISFIED WITH THE LEAD ASSESSOR [MR.U.R.SHESHAGIRI].ACCORDING TO THEM HE WAS VERY JUDGEMENTAL.HE WAS NOT READY TO LISTEN TO THEM.HE DIDNâ€™T JUSTIFY THE NC's.
854,The scope of our lab is less and 7 assessors for the audit is very unnecessary.,It was good. ONE SUGGESTION: Onsite audit should be done.
855,,IT WAS GOOD
856,,it was good
857,,EXCELLENT 
858,,IT WAS GOOD. NCS ARE GOOD FOR IMPROVEMENT.
859,,VERY GOOD.
860,,very nice
861,,Everything conducted smoothly and with transparency. One request is that please fast pace the certificate process since it is been 1.5 months and we have not get the certificate and hence we are not getting any client. 
862,"THE LAB MANAGER SAID THAT N. A .B. L TAKES MUCH TIME TO REVERT BACK DUE TO WHICH LICENCE GET CANCELLED, WHEREAS THE LABS ARE STRICTLY INSTRUCTED TO SUBMIT ALL THE DOCUMENTS ON TIME.",VERY GOOD. THE ASSESSORS GAVE KNOWLEDGE FOR IMPROVEMENT THEY WERE COMPONENT.
863,,it was nice.
864,,EXCELLENT.
865,,it was very good
866,,"IT WAS GOOD 
SUGGESTION ;- TIME DURATION MAY BE SHORT "
867,,"that was 1st offlline assesment  and experience was good . rajesh sir who was also a asseser he was good, supporting  and initiating"
868,,EXCELLENT
869,,very good
870,,excellent
871,Small Laboratories are not capable enough to hold the expenses of the audits and only one assessor should be sent to assess a small laboratory. ,good
872,,it was good
873,,GOOD 
874,,VERY GOOD.
875,,good.
876,,it was good. We got to learn about many new things.
877,,VERY GOOD.
878,,
879,,fine
880,,It was really nice.
881,Online audit is bit challenging so it is a suggestion that whole process should be in offline mode. ,Excellent. They were decent and had very good behavior.
882,,
883,,excellent 
884,,
885,The unproffessional behaviour of Mr. Saha.,Mixed feelings as the lead was so good . But other assessor was not so proffessional.
886,,it was good.
887,,Very good. Assessors had very good knowldege of their field and they gave us good suggestions also
888,,GOOD
889,,REALLY GREAT.
890,,
891,,GOOD
892,,IT WAS EXCELLENT 
893,,
894,,
895,,VERY GOOD.
896,,It was very good and informative. ONE SUGGESTION : There should be some easiness for the labs situated in rural areas like us. I am not complaining but we face a lot of difficulty in getting resources here.
897,,EXPERIENCE WAS GOOD 
898,,VERY GOOD AUDIT QUALITY VERY GOOD TECHINAL KNOWLEDGE OF THE ASSESSOR IT WAS OVERALL VERY GOOD
899,,
900,,GOOD
901,,GOOD.
902,,
903,,it was vert suggestive and good experience
904,,GOOD.
905,,GOOD. TECHNICAL ASSESSOR NEED TO IMPROVE LITTLE PRACTICAL KNOWLEDGE.
906,,It was good. Assessment was done rightly.
907,,It was good and came out to be a perfect assessment.
908,,
909,,
910,,very nice.
911,,good.
912,,"IT WAS GOOD , ASSESSOR MR. AMIT MEHTA WAS VERY NICE AND HELPFUL"
913,,"Very good. They gave valuable inputs. 
ONE SUGGESTION - the assessors should have complete knowledge of the field.  The assessor who came this time was not aware about one standard and thus raised NC for it."
914,,Good
915,,IT WAS EXCELLENT.
916,,EXCELLENT
917,,good
918,,
919,,it was good.
920,,Excellent. Their coordination with the staff was very good.  
921,the assessment was postponed that was only issue ,very detailed identification assessment was their.
922,,VERY NICE.
923,,GOOD
924,,it was very good.
925,,Good experience. They give good suggestion and it has boosted our confidence.
926,,learning expeince was good they knew about the latest version 2017 all experience was too good.
927,,
928,,
929,,GOOD
930,,EXCELLENT.
931,,IT WAS GOOD
932,,It was very good. 
933,,
934,,"very nice , no problem "
935,,
936,,VERY GOOD. 
937,,wrong number
938,,IT WAS SATISFACTORY.
939,,It was good. They were doing their with great patience.
940,"give mental pressure and do more repeatedly making unnecessary arguments, unnecessary herious  and ther attitude and laboratory thing out talk do.", unsatisfactory  and poor experience of this assessment.
941,,very good 
942,,it was very good and assessment went smoothly
943,,
944,,it was good 
945,,good.
946,,VERY GOOD.
947,,
948,,SATISFACTORY.
949,,THE ASSESSOR WAS VERY KNOWLEDGABLE PERSON AND WAS VERY GOOD . HE ASKED AND GAVE US A LOT OF INFORMATION. WAS VERY GOOD IN BEHAVIOUR.
950,,very good
951,,EXCELLENT .IT WAS A LEARNING EXPERIENCE.
952,N A B L Testwise IS good but the product wise it's scope is very limited.,overall experience was excellent.
953,,
954, some NC 's  problem . ,IT WAS GOOD 
955,,
956,,
957,,VERY GOOD.
958,,
959,," experience was good , there was lots of thing for knowledge."
960,,Excellent. Everything went well.
961,,it was okay
962,,THEY WERE VERY DELIGHTED AFTER HAVING SUCH AUDIT.
963,,GOOD.
964,Need to improve N A B L system as there were 8 assessors at the same time it created hustle.,good
965,,excellent
966,,IT WAS GOOD
967,,Everything was timely conducted and they performed very well as per the standard.
968,,GOOD
969,,IT WAS VERY GOOD
970,,it was excellent
971,,"it  was perfect,very happy from it ."
972,,GOOD
973,,EXCELLENT.
974,,it was good.
975,,IT WAS VERY GOOD . ALL WERE GOOD AND EXCELLENT.
976,,"IT WAS GOOD 
SUGGESTION:-  DO NOT DO HURRY UP"
977,,THEY LIKED THE ENTIRE ASSESSMENT PROCESS.ASSESSMENT WAS COMPLETED WITHOUT ANY PRESSURE.
978,,good 
979,,GOOD
980,,EXCELLENT
981,,IT WAS GOOD.
982,,it was good
983,,
984,"fee rate is very high of NABL
suggestion:- there is so many low scope so try to fall down rate ","it  was good 
"
985,,It was great. One suggestion is NABL has to maintain some uniform guidelines for their assessors to tackle with particular problem .
986,,it was very good 
987,,IT WAS EXCELLENT 
988,,it was very good
989,,It was fruitful and satisfactory.
990,,GOOD
991,,
992,,"it was best 
suggestion :- if possible so NABL can planting in this lab because they gave respect each and all assessors every time when they come for audit with planting so nabl can rely or give respect their feelings with bring a plant "
993,,it was good
994,GAUTAM SIR BEHAVE WAS NOT GOOD HE WANT TO DO EVERY THING VERY FASTLY.,GOOD.
995,,VERY GOOD.
996,,
997,,IT WAS VERY GOOD
998,,
999,,EXCELLENT.
1000,,
1001,,IT WAS GOOD
1002,,
1003,,
1004,,Very Good . It was excellent except that assessor name mentioned above.
1005,,IT WAS VERY GOOD
1006,,good.
1007,, IT WAS SATISFACTORY 
1008,The lab is small and they have mentioned this so having 2 assessors would be a better option as the answering to 4 assessors at the time was bit hesitating .,It is quite in depth audit from last time absolutely knowledgeable .
1009,,Good. One important suggestion - there should be perimeter wise certification in pharma labs and not product wise. (personal number of Divyesh Modi - 9016930368)
1010,,7 years and over all excellent
1011,,GREAT.
1012,,EXCELLENT.
1013,,it was great
1014,,EXCELLENT.
1015,,THE ASSESSORS GAVE GOOD ADVISES.
1016,,VERY GOOD
1017,,good
1018,,it was good
1019,,EXCELLENT
1020,,GREAT EXPERIENCE. THE TECHNICAL ASSESSOR RAJAN DESAI WAS SO HUMBLE.
1021,,GOOD.JUST ONE SUGGESTION IS THERE THAT THERE SHOULD BE CLARITY ON CLAUSE 17205.
1022,,it was good
1023,,GREAT.
1024,,GOOD.
1025,,
1026,,Excellent. They all were cooperative and timely completed the audit.
1027,,GOOD
1028,,
1029,,
1030,,very good.
1031,assessment got delay . they did not have januan reason   for this.,excellent. 
1032,THE ASSESSORS WERE NOT COOPERATIVE. MR ASHISH TRIVEDI WAS SO RIGID THROUGH OUT THE ASSESSMENT. THE ASSESSORS WERE REJECTING THE THINGS WITHOUT WITNESSING.,WORST EXPERIENCE
1033,,it was good
1034,,Excellent. We would like to have these kind of assessors in other assessment too.
1035,,VERY GOOD.
1036,,It was great. No issue faced because of assessor.
1037,,EXCELLENT
1038,,excellent
1039,,assesers explanation was good . Experience was excellent.
1040,,
1041,,excellent
1042,,excellent.
1043,TECHNICAL  ASSESSOR'S EXPERIENCE WAS LESS AS COMPARE TO OTHERS.LITTLE IMPROVEMENT NEEDED.NOT MENTIONED THE NAME OF THE TECHNICAL ASSESSOR.,GOOD
1044,,IT WAS GOOD 
1045,,EXCELLENT.
1046,,it was  good learning experience.
1047,,
1048,The assessor team's member Nishata mam was shouting on the team and the technical team was getting nervous as she was digging and shouting .,Good. Nabl team's communication is great . They smoothly conducted the whole assessment process.
1049,,SPLIT ASSESSMENT SHOULD NOT BE THERE.
1050,,It was great. Everything was smoothly and we did not feel any irrelavant pressure.  
1051,,very good
1052,,
1053,,VERY GOD EXPERIENCE.
1054,,excellent.
1055,,2 years 
1056,,VERY GOOD
1057,,
1058,,EXCELLENT OVER ALL
1059,,FED UP WITH OPENING MEETING.FEW ARGUEMENTS WERE THERE. OTHERWISE IT WAS O.K.
1060,,Whole process were smoothly conducted and NABL has improved very much. It is working very efficiently.
1061,,VERY GOOD
1062,, experience was good 
1063,,it was very good 
1064,,
1065,,IT WAS VERY GOOD
1066,,GOOD
1067,,
1068,,Good. They were good people and cooperative with the staff. ( Mr. Parvesh Kapil has left the lab and gave the number of Miss. Poonam 8929417114) 
1069,,VERY GOOD.
1070,,
1071,,"It was good. ONE SUGGESTION: Auditors have a checklist, according to which the assessors take the audit. It is my suggestion and request that NABL should provide this checklist to all the labs so that they can also assess themselves."
1072,,EXCELLENT
1073,,very good experience.
1074,LA was interfering with every test and results. He was very dominating ,We did not feel good with how the assessment went as it started with biased attitude and LA was interfering with everything.
1075,,Good. On time finished. 
1076,,VERY GOOD.
1077,,Good. Everything is great.
1078,,EXCELLENT
1079,,
1080,,
1081,,EXCELLENT
1082,,very good
1083,,it is excellent
1084,,EXCELLENT.
1085,"There are many time of formats so we can make one format. There should be only particular and formalised  format for each type of documentation so it will be more clear , because everyone asking for different formats .",Excellent.
1086,,SATISFACTORY
1087,,Excellent. We are happy with the NABL process.
1088,, EXCELLENT
1089,,VERY GOOD. 
1090,,excellent
1091,,IT WAS GOOD. 
1092,,GOOD.
1093,,VERY GOOD
1094,,SATISFACTORY.
1095,,It was good. Assessors were very cooperative.
1096,,VERY GOOD. 
1097,,very good
1098,Assessors asking all the documents like SOP'S on email but they doubt on the authenticity of the assessors as they have gmail id's inspite of having on N A B L 's  domain,ok
1099,,excellent
1100,,it was good 
1101,,EXCELLENT.
1102,,It was great. Both assessor did their work with full honesty  and we are very happy after the assessment. The best thing was that they made everything clear to us.
1103,,VREY GOOD.
1104,,GOOD
1105,,it was good.
1106,,it was good. Everything processed smoothly and on time
1107,,experience  was good.
1108,,NABL SHOULD NOT BE LIMITED TO LABS ONLY. EVERY SPHERE SHOULD HAVE SUCH STANDARDS. AND IT WAS GOOD OVERALL.
1109,,Everything was Great.
1110,,IT WAS GOOD 
1111,,"IT WAS GOOD 
"
1112,,Great.
1113,,
1114,,it was excellent
1115,,IT WAS OK
1116,,IT WAS GOOD
1117,,
1118,,IT WAS VERY NICE.
1119,,it was good
1120,,BOTH THE ASSESSORS WERE VERY GOOD. THEY WERE KNOWLEDGEABLE.THEY GAVE SUGGESTIONS FOR  IMPROVEMENT.
1121,,Fine.
1122,,EXCELLENT.
1123,,It was good. Everything conducted nicely.
1124,,IT WAS GOOD 
1125,,
1126,,VERY GOOD
1127,,
1128,,It was good. 
1129,,ok types
1130,,it was very good
1131,,
1132,,EXCELLENT 
1133,,it was really helpful and a learning experience. They guided us very well. Both assessors were very coordinating.
1134,,good
1135,,Excellent. Only we faced problem because of language barrier.
1136,,THE EXPERIENCE WAS GOOD.
1137,BASIS OF THE AUDIT (MR. SAJAN) ,"IT WAS GOD 
SUGGESTION ;- AUDITORS ARE NOT BE FOR FINDING ONLY  FAULT  THEY ARE ALSO FOR GOOD AUDIT."
1138,"The number of assessors in our audit were 6, which was actually not required as per the scope of our lab. ",Okay. ONE SUGGESTION : Like our lab has completed 6 pg programs so NABL should consider that and then it is not required to check every perimeter again and again.
1139,,Excellent
1140,, EXPERIENCE WAS GOOD .
1141,,VERY GOOD.
1142,,IT WAS 1ST ASSESSMENT AND IT WAS NEW AND GOOD 
1143,,"it was very good , the assessor was very polite and the assessment went smoothly"
1144,, very good.
1145,,IT WAS EXCELLENT 
1146,,"Outstanding, audit completed rightly"
1147,," IT WAS GOOD 
SUGGESTION;- INFORM BEFORE START THE AUDIT. "
1148,"RESPONSE IS VERY LATE ABOUT PAPER WORK ,LACK OF COMMUNICATION ",EXCELLENT .
1149,,GOOD 
1150,,GOOD
1151,,good experience 
1152,,
1153, LEAD ASSESSOR'S BEHAVIOR WAS RIGID.,GOOD. TECHNICAL ASSESSOR WAS KNOWLEDGEABLE.
1154,,EXCELLENT.
1155,,GOOD
1156,,EXCELLENT
1157,,EXCELLENT.
1158,,EXCELLENT
1159,,VERY GOOD
1160,,experience was good.
1161,,experience was good
1162,,
1163,,Great. Everything was well-planned and rightly executed.
1164,,very nice.
1165,,excellent
1166,,IT WAS GOOD.
1167,,
1168,,
1169,,
1170,,experience was excellent. Nitish shukla was good asseser .  Ans asesesrs were trying to understand teenegers  and there experiece was good. They are very thankfull to NABL.  
1171,,
1172,,
1173,,EXCELLENT
1174,,
1175,,satisfactory
1176,,VERY GOOD AND SATISFACTORY.
1177,,
1178,,overall experience was good.
1179,,It was Good.
1180,,
1181,,IT WAS GOOD.
1182,YES THE ATTITUDE OF THE SECOND ASSESSOR WAS NOT GOOD HE TOLD THE LAB MANAGER TO BOOK FLIGHT FOR HIM WHICH HE EVENTUALY CANCLED DUE TO WHICH THE LAB MANAGER HAD TO PAY EXTRA FOR CANCELATION FEE.,IT WAS OKAY
1183,,THE ASSESSOR WERE VERY PRECISE AND TOTALLY CONFINED TO THEIR TOPIC THE VERIFICATION WAS DONE VERY WELL . IT WAS REALY GOOD
1184,,IT WAS VERY NICE.
1185,,It was good and timely done. They cooperated well. Only thing I would like to request is that the assessors should be cordial with new labs as we do not know anything. 
1186,,EXCELLENT
1187,they found one of the assessor little bit rude.,CLIENT WAS EXTREMELY HAPPY.BOTH THE ASSESSORS WERE KNOWLEDGEABLE .OVER ALL EXPERIENCE WAS FABULOUS.
1188,,VERY GOOD
1189,,Good
1190,,it was excellent.
1191,,good
1192,,Excellent. They were very helpful and conducted everything with all protocols.
1193,,IT WAS SO GOOD AND INFORMATIVE.
1194,,
1195,,EXCELLENT
1196,,overall experience was good.
1197,,very good.
1198,,GOOD LEARNING EXPERIENCE. STAFF WAS FACING PROBLEM TO UNDERSTAND THE THINGS DUE TO THE SOUTH INDIAN ACCENT OF THE ASSESSORS.
1199,,VERY GOOD 
1200,,IT WAS EXCELLENT.
1201,,Very Good
1202,,very good.
1203,,IT WAS GOOD 
1204,,it was excellent. Assessors behavior was very nice.
1205,,THE ASSESSOR D. VENAKATESHWAR HAS NOT COME FOR AUDIT. HE DIDN'T EVEN AUDIT FROM ONLINE. THE CLIENT SAID SOME TESTING AUDIT IS STILL PENDING DUE TO HIM OTHERWISE IT WAS A GOOD EXPERIENCE.
1206,,excellent
1207,,Everything was Good.
1208,,excellent
1209,,GOOD
1210,,It was a good experience. Assessment process went smoothly and we learnt a lot.
1211,,IT WAS AN EYE OPENING EXPERIENCE.
1212,,
1213,,very good
1214,,excellent
1215,,
1216,,it was fine 
1217,,very good 
1218,,Excellent. 
1219,"YES, NABL PORTAL IS NOT GOOD REPORT IS NOT COLLECTIVE TIMLY ",EXPERIENCE WAS NOT GOOD.
1220,,VERY GOOD.
1221,,THE OVERALL EXPERIENCE WAS VERY GOOD 
1222,,IT WAS GOOD
1223,,it was good
1224,,IT WAS EXCELLENT
1225,,OVER ALL experience was good. 
1226,,EVERY TIME ASSESSORS HAVE DIFFERENT POINT OF VIEWS THEY NEED TO BE MORE TRAINED AND EXPERIENCED.
1227,,NICE
1228,,IT WAS OKAY
1229,,
1230,,
1231,,SATISFACTORY. EVERYTHING WENT WELL AND WE ARE HAPPY HAPPY.
1232,,GOOD.
1233,, very good experience.
1234,,Very good. They were very senior so it was a learning experience for us.
1235,,
1236,,It was a great experience.
1237,THE BEHAVIOR OF MR.DESHPANDEY WAS NOT GOOD.HE WAS RUDE. HE WAS SHOUTING IRRELEVANTLY.HE WAS NOT READY TO LISTEN ANYTHING. THOUGH  L.A WAS SATISFIED WITH THE DOCUMENTS EVEN THEN MR DESHPANDEY RAISED THE NC'S.,EXCEPT ONE ASSESSOR (MR. DESHPANDEY) ALL WERE TECHNICALLY COMPONENT.
1238,,"SATISFACTORY 
"
1239,,
1240,,
1241,,over all experice was good.
1242,,
1243,,Good. Contact person has left the organisation. Mr.Manikandra Prabhu gave the feedback.
1244,,VERY GOOD.
1245,,EXCELLENT
1246,,VERY GOOD.
1247,,All protocols was followed and they were kind and gentle towards the lab. They raised the right NCs. We are happy.
1248,,very good
1249,,Excellent.
1250,,Very good. We got an opportunity to learn new things they we would implement in our lab.
1251,,
1252,,"IT WAS GOOD 
SUGGESTION ;- SHOW HE NAME PROPERLY DO NOT MISS THE USING OF DR. BECAUSE IT IS SHOWING DEGREE"
1253,,Excellent. Assessors were cooperating and explaining rightly. 
1254,,excellent
1255,,exclent experience.
1256,,EXCELLENT.
1257,,EXCELLENT 
1258,,IT WAS VERY GOOD. ASSESMENT WAS COMPLETED ON THE TIME. THEY ARE VERY POLITE THEY ARE VERY HELPING ASSESER ATTITUDE WAS POSITIVE THEY ARE FULL ASSING.
1259,the accreditation officer should be more supportive towards the lab.,it was good
1260,,
1261,,It was fine. We are happy with the assessors and assessment process.
1262,,EXCELLENT 
1263,,excellent
1264,,IT WAS VERY GOOD. ASSESSORS HAD DEEP KNOWLEDGE OF THE SUBJECT AND WE LEARNT A LOT FROM THEM. ONE REQUEST- QCI SHOULD PROVIDE CLASSROOM TRAINING. WE GO TO BIS FOR TRAINING BUT THEY ARE NOT THAT BENEFICIAL.
1265,,
1266,,IT WAS GOOD
1267,,SATISFACTORY
1268,,
1269,,
1270,,GOOD.
1271,,"IT WAS  EXCELLENT , "
1272,,
1273,,IT WAS EXCELLENT
1274,,IT WAS VERY GOOD
1275,,VERY GOOD
1276,, EXCELLENT
1277,,EXCELLENT
1278,,Satisfied
1279,,FINE.
1280,,IT WAS REALLY GOOD IT WAS A GREAT EXPERIENCE FOR US
1281,,
1282,,
1283,,It was a 5/5 assessment. Everything was well-planned and all assessors were expert of their fields. One suggestion is if possible keep the whole audit in offline manner because online audit creates confusion. 
1284,,
1285,,IT WAS EXCELLENT 
1286,,great experience
1287,,VERY GOOD.
1288,"YES, THEY DO NOT HAVE CLEARIFCATION.",EXPERIENCE WAS GOOD.  
1289,,it was good
1290,,IT WAS EXCELLENT
1291,,IT WAS FINE
1292,,FINE
1293,,Great.
1294,,We expected to be very strict but they cooperated very well.
1295,,VERY GOOD
1296,,excellent
1297,,Very good. We will work on our improvement.
1298,,IT WAS GOOD 
1299,,ASSESSMENT WAS GOOD
1300,,WONDERFUL
1301,ASSESSORS SHOULD FOCUS ON TECHNICAL ASPECT RATHER THAN FAULT FINDING.,GOOD.
1302,LAB MANAGER FELT THAT THE ASSESSORS SHOULD HAVE POINTED OUT THE MISTAKES IN THE CLOSING MEETING NOT AT JUST BEGINNING OF THE AUDIT SUCH ATTITUDE DEMOTIVATED THEM.,UNSATISFACTORY AT SOME POINTS.
1303,,it was good
1304,,overall experience was good.
1305,,Excellent.
1306,, excellent
1307,,EXCELLENT
1308,,
1309,,VERY GOOD
1310,,all expeerience wa good
1311,,very good.
1312,,very good.
1313,,Very good. NABL assessment process is really good. 
1314,,good experience
1315,,VERY GOOD 
1316,,very good.
1317,,THE ASSESSOR GUIDED US AND THROUGH THIS ASSSESSMENT LABORATORIES GET CHANCE TO IMPROVE THEIR SERVICE . BOTH THE ASSESSOR WERE VERY GOOD.
1318,,It was good. They were experienced and suggested many good points to improve our lab.
1319,,EXCELLENT.
1320,,"NOTHING WRONG , THE BEHAVIOUR OF BOTH THE ASSESSOR WAS VERY GOOD AND EVERYTHING WAS PERFECT AND WENT SMOOTHLY."
1321,,EXCELLENT
1322,,It was very good. Assessors were very polite and explained very well. One REQUEST is more time should be given for audit as it was very limited.
1323,,
1324,,
1325,MR ASHOKAN'S PITCH WAS LITTLE BIT HIGH. IT SOUNDS VERY RUDE.,FINE. 
1326,IT WAS  DRUGS AND PHARMA LAB AND THE LAB MANAGER REQUESTED TO SEND THE ASSESSOR HAVING PRIOR KNOWLEDGE OF THE SAME OTHERWISE IT TAKES TOO MUCH TIME TO EXPLAIN EACH ASPECT.,GOOD
1327,,excellent
1328,,EXCELLENT
1329,,Excellent.
1330,,Best audit. Blessed to have such auditors.
1331,,VERY GOOD
1332,,excellent
1333,,
1334,,EXCELLENT
1335,,It was amazing . 
1336,,it was very good
1337,,it was very good
1338,,WONDERFUL
1339,,
1340,,VERY GOOD.
1341,,
1342,,IT WAS TOO LENGTHY.KNOWLEDGE OF THE BOTH ASSESSORS WAS VERY GOOD. THEY EXPLAINED VERY NICELY.
1343,,EXPERIENCE WERE GOOD. 
1344,,Excellent
1345,it would have been great if both the assessors were offline.,it was very good .
1346,"DR. AMITABH PANDEY HE WAS TECHNICAL ASSESSOR HE WAS NOT RIGHT IN ANY MANNOR HE WAS RUDE , WORK WAS NOT GOOD BECAUSE OF ASSESSOR DR. ANITA WAS CRY SO MUCH BUT HE WAS NOT IN BEHAVE  ",IT WAS CONFUSSING BECAUSE LEAD ASSESOR WAS GOOD AND TCHNICAL ASSESSOR WAS OPPOSITE 
1347,,ASSESSMENT WAS CONDUCTED PROFESSIONALLY. ASSESSORS WERE COMPONENT.
1348,"their behave was not good and asking unnecessary question to assistant because they want to harraous internally they asks only theortical questions which was not relavent  , they ask questions like exams andrejected because they want in format . ","it was good 
suggestion:- formate be available on the portal "
1349,,it was very good 
1350,,It was very good. We are very happy with NABL. It has been a great journey so far.
1351,The online audit. ,We learnt a lot and it was very nice audit.
1352,,It was Good.
1353,,
1354,,EXCELLENT
1355,,good 
1356,,very good.
1357,,
1358,,
1359,,It was preety good.
1360,,
1361,,It was very Good .
1362,,good
1363,,it was a great experience 
1364,,
1365,,Excellent. It was timely conducted and everything went smoothly.
1366,,EXCELLENT
1367,,GOOD.
1368,,IT WAS REALLY GOOD 
1369,,
1370,,
1371,,overall experience was excellent.
1372,,good.
1373,,it was nice 
1374,,good
1375,,Nice
1376,,nice.
1377,,Fine. 
1378,,excellent.
1379,,it was good 
1380,,GOOD
1381,,VERY GOOD.
1382,,IT WAS OK.
1383,,IT  WAS VERY GOOD
1384,,
1385,,very good
1386,,"IT WAS GOOD 
SUGGESTION:- ONLINE APPLICATION'S REPLY IS VERY LATE "
1387,,IT WAS GOOD 
1388,,very good
1389,,
1390,,GOOD
1391,,very good
